month,category,total_visits,record_count,unique_stores,mean_daily_visits,data_type
2023-04-01,Services to Buildings and Dwellings,77123,7110,237,10.85,derived
2023-05-01,Services to Buildings and Dwellings,86892,7347,237,11.83,derived
2023-06-01,Services to Buildings and Dwellings,83596,7170,239,11.66,derived
2023-07-01,Services to Buildings and Dwellings,84294,7502,242,11.24,derived
2023-08-01,Services to Buildings and Dwellings,87486,7471,241,11.71,derived
2023-09-01,Services to Buildings and Dwellings,79724,7230,241,11.03,derived
2023-10-01,Services to Buildings and Dwellings,80864,7471,241,10.82,derived
2023-11-01,Services to Buildings and Dwellings,85063,7260,242,11.72,derived
2023-12-01,Services to Buildings and Dwellings,89124,7533,243,11.83,derived
2024-01-01,Services to Buildings and Dwellings,79605,7502,242,10.61,derived
2024-02-01,Services to Buildings and Dwellings,76148,7018,242,10.85,derived
2024-03-01,Services to Buildings and Dwellings,80865,7502,242,10.78,derived
2024-04-01,Services to Buildings and Dwellings,82777,7260,242,11.4,derived
2024-05-01,Services to Buildings and Dwellings,87616,7471,241,11.73,derived
2024-06-01,Services to Buildings and Dwellings,78431,7140,238,10.98,derived
2024-07-01,Services to Buildings and Dwellings,86715,7378,238,11.75,derived
2024-08-01,Services to Buildings and Dwellings,85659,7316,236,11.71,derived
2024-09-01,Services to Buildings and Dwellings,75664,7050,235,10.73,derived
2024-10-01,Services to Buildings and Dwellings,80290,7285,235,11.02,derived
2024-11-01,Services to Buildings and Dwellings,82382,7050,235,11.69,derived
2024-12-01,Services to Buildings and Dwellings,91208,7285,235,12.52,derived
2020-01-01,Shoe Stores,25157891,43183,1393,582.59,derived
2020-02-01,Shoe Stores,24632234,40426,1394,609.32,derived
2020-03-01,Shoe Stores,12610125,43214,1394,291.81,derived
2020-04-01,Shoe Stores,21672,41790,1393,0.52,derived
2020-05-01,Shoe Stores,4090467,43183,1393,94.72,derived
2020-06-01,Shoe Stores,15356047,41820,1394,367.19,derived
2020-07-01,Shoe Stores,19867890,43121,1391,460.75,derived
2020-08-01,Shoe Stores,20670000,43152,1392,479.0,derived
2020-09-01,Shoe Stores,18789910,41790,1393,449.63,derived
2020-10-01,Shoe Stores,20067758,43183,1393,464.71,derived
2020-11-01,Shoe Stores,20136296,41730,1391,482.54,derived
2020-12-01,Shoe Stores,27942874,43028,1388,649.41,derived
2021-01-01,Shoe Stores,16497958,42687,1377,386.49,derived
2021-02-01,Shoe Stores,13928924,37772,1349,368.76,derived
2021-03-01,Shoe Stores,24049519,41664,1344,577.23,derived
2021-04-01,Shoe Stores,24799772,40230,1341,616.45,derived
2021-05-01,Shoe Stores,25973454,41416,1336,627.14,derived
2021-06-01,Shoe Stores,26030913,40200,1340,647.54,derived
2021-07-01,Shoe Stores,30289948,41385,1335,731.91,derived
2021-08-01,Shoe Stores,32938561,41168,1328,800.1,derived
2021-09-01,Shoe Stores,23194112,39870,1329,581.74,derived
2021-10-01,Shoe Stores,24059095,40889,1319,588.4,derived
2021-11-01,Shoe Stores,27323801,39210,1307,696.86,derived
2021-12-01,Shoe Stores,38850793,40796,1316,952.32,derived
2022-01-01,Shoe Stores,18438561,40269,1299,457.88,derived
2022-02-01,Shoe Stores,18463262,36260,1295,509.19,derived
2022-03-01,Shoe Stores,23919323,40021,1291,597.67,derived
2022-04-01,Shoe Stores,24811160,38880,1296,638.15,derived
2022-05-01,Shoe Stores,24793475,40207,1297,616.65,derived
2022-06-01,Shoe Stores,24291874,39120,1304,620.96,derived
2022-07-01,Shoe Stores,28498150,40455,1305,704.44,derived
2022-08-01,Shoe Stores,32434391,40548,1308,799.9,derived
2022-09-01,Shoe Stores,23014052,39420,1314,583.82,derived
2022-10-01,Shoe Stores,23343159,40734,1314,573.06,derived
2022-11-01,Shoe Stores,26094830,39390,1313,662.47,derived
